date,open,high,low,close,volume
2009-07-27,22.8814,22.9829,22.4657,22.8714,108327800
2009-07-28,22.6971,22.8721,22.5143,22.8571,90888700
2009-07-29,22.7,22.9214,22.6071,22.8614,95539500
2009-07-30,23.1,23.5314,23.0714,23.2557,117401200
2009-07-31,23.284,23.5714,23.2729,23.3414,105634200
2009-08-03,23.6014,23.8057,23.5529,23.7757,98560000
2009-08-04,23.5614,23.6529,23.4586,23.65,98952700
2009-08-05,23.6786,23.9129,23.4586,23.5871,105795900
2009-08-06,23.6543,23.7871,23.2986,23.4157,85404200
2009-08-07,23.6414,23.8,23.5429,23.6443,96838700
2009-08-10,23.6657,23.8,23.38,23.5314,75073600
2009-08-11,23.3843,23.4829,23.1257,23.2614,88835600
2009-08-12,23.2214,23.8157,23.2086,23.6157,111267800
2009-08-13,23.8071,24.0957,23.7857,24.06,109995200
2009-08-14,23.9914,24.0324,23.6471,23.8257,76454000
2009-08-17,23.3643,23.37,22.7743,22.7986,131095300
2009-08-18,23.09,23.4629,23.0586,23.4286,107788100
2009-08-19,23.25,23.6143,23.2071,23.5143,103317900
2009-08-20,23.5686,23.8171,23.5157,23.7614,85507800
2009-08-21,23.95,24.1957,23.8286,24.1743,104018600
2009-08-24,24.3029,24.3871,24.0386,24.1514,101732400
2009-08-25,24.2086,24.42,24.1614,24.2,81088700
2009-08-26,24.1314,24.2214,23.8229,23.9157,75999700
2009-08-27,24.1071,24.2243,23.5471,24.2071,112295400
2009-08-28,24.61,24.6414,24.0757,24.2929,113425200
2009-08-31,24.0229,24.1214,23.7857,24.03,77834400
2009-09-01,23.9986,24.2857,23.5629,23.614,117257000
2009-09-02,23.5171,23.9443,23.4443,23.5971,91062300
2009-09-03,23.7771,23.8714,23.5714,23.7929,73488800
2009-09-04,23.8965,24.3857,23.87,24.33,93657200
2009-09-08,24.7114,24.7343,24.5714,24.7043,78761900
2009-09-09,24.6829,24.9243,24.2429,24.4486,202771800
2009-09-10,24.58,24.75,24.4014,24.6514,122783500
2009-09-11,24.7014,24.74,24.41,24.5943,87240300
2009-09-14,24.4043,24.8429,24.3214,24.8171,80502800
2009-09-15,24.8629,25.0929,24.7986,25.0229,106617700
2009-09-16,25.4271,26.1071,25.4114,25.9814,188505800
2009-09-17,25.9971,26.6843,25.9957,26.3643,202643000
2009-09-18,26.5471,26.65,26.3943,26.4314,150395700
2009-09-21,26.3271,26.4514,25.9457,26.2886,109428900
2009-09-22,26.4557,26.4829,26.1214,26.3543,89188400
2009-09-23,26.4857,26.9857,26.4329,26.5,148390900
2009-09-24,26.7429,26.8143,26.11,26.26,137720100
2009-09-25,26.0014,26.5,25.92,26.0529,111309800
2009-09-28,26.2671,26.6686,26.19,26.5931,84361200
2009-09-29,26.6757,26.7714,26.33,26.4829,86346400
2009-09-30,26.59,26.6357,26.0875,26.4786,134896300
2009-10-01,26.4786,26.6029,25.8143,25.8371,131177900
2009-10-02,25.9157,26.5629,25.9071,26.4143,138327000
2009-10-05,26.6,26.6943,26.3243,26.5749,105783300
2009-10-06,26.82,27.1443,26.7571,27.1443,151271400
2009-10-07,27.1086,27.2214,27.0046,27.1786,116417000
2009-10-08,27.2371,27.35,26.9843,27.0386,109552800
2009-10-09,26.9957,27.2429,26.9457,27.21,73318000
2009-10-12,27.2886,27.3586,27.0914,27.2586,72006200
2009-10-13,27.2329,27.31,27.1,27.1457,87005100
2009-10-14,27.4643,27.4743,27.1757,27.3271,93877700
2009-10-15,27.09,27.2743,27.0757,27.2229,93389100
2009-10-16,27.05,27.1943,26.8343,26.8643,107856700
2009-10-19,26.8357,27.1429,26.5071,27.1229,235557700
2009-10-20,28.6571,28.8214,28.2643,28.3943,285259800
2009-10-21,28.5029,29.8157,28.4614,29.2743,298431700
2009-10-22,29.2429,29.6929,28.93,29.3143,197848000
2009-10-23,29.3857,29.4,29.0329,29.1343,105196700
2009-10-26,29.0957,29.5357,28.5857,28.9257,121084600
2009-10-27,28.8086,28.9729,28.0643,28.1957,189137900
2009-10-28,28.2443,28.2886,27.3,27.4857,204596700
2009-10-29,27.8571,28.1157,27.4486,28.05,142567600
2009-10-30,28.008,28.1143,26.581,26.9286,179381300
2009-11-02,27.1143,27.5543,26.51,27.0443,169745800
2009-11-03,26.8357,27.0743,26.56,26.9643,130635400
2009-11-04,27.2471,27.6929,27.1757,27.2586,121882600
2009-11-05,27.4857,27.8571,27.4029,27.7186,96200300
2009-11-06,27.5014,27.8843,27.4857,27.7629,73774400
2009-11-09,28.1343,28.8429,28.0371,28.78,132213900
2009-11-10,28.7171,29.2829,28.7157,28.9971,100298800
2009-11-11,29.2229,29.2857,28.8329,29.0357,110967500
2009-11-12,29.02,29.2671,28.7757,28.8557,90932800
2009-11-13,28.9814,29.2614,28.8671,29.2071,85810200
2009-11-16,29.3543,29.7143,29.2871,29.5186,121301600
2009-11-17,29.44,29.6343,29.2857,29.5714,99128400
2009-11-18,29.5057,29.5714,29.1429,29.4229,93580200
2009-11-19,29.23,29.23,28.5429,28.6443,135581600
2009-11-20,28.45,28.6271,28.2514,28.56,101666600
2009-11-23,29,29.4286,28.9929,29.4114,118724200
2009-11-24,29.3329,29.4114,28.9857,29.2057,79609600
2009-11-25,29.3429,29.3786,29.1086,29.17,71613500
2009-11-27,28.46,28.9943,28.3386,28.6557,73814300
2009-11-30,28.73,28.8114,28.3957,28.5586,106214500
2009-12-01,28.8914,28.9671,28.1186,28.1386,116440800
2009-12-02,28.4229,28.7743,27.9643,28.0329,178815000
2009-12-03,28.2029,28.4257,28.0386,28.0686,112179900
2009-12-04,28.5285,28.5543,27.1829,27.6171,206721200
2009-12-07,27.6171,27.6814,26.9543,26.9929,178689700
2009-12-08,27.0514,27.4786,26.9571,27.1243,172599700
2009-12-09,27.3257,28.3086,27.1871,28.2571,171195500
2009-12-10,28.5,28.5286,28.0171,28.0614,122417400
2009-12-11,28.2543,28.2857,27.6329,27.81,107443700
2009-12-14,27.91,28.2043,27.5086,28.14,123947600
2009-12-15,27.9757,28.2157,27.61,27.7386,104864900
2009-12-16,27.8714,28.0714,27.7929,27.8614,88246200
2009-12-17,27.7514,27.8571,27.2857,27.4086,97209700
2009-12-18,27.5957,27.929,27.5143,27.9186,152192600
2009-12-21,28.0071,28.5357,27.9529,28.3186,152976600
2009-12-22,28.4914,28.6929,28.38,28.6229,87378900
2009-12-23,28.75,28.9114,28.6871,28.8714,86381400
2009-12-24,29.0786,29.9071,29.05,29.8629,125222300
2009-12-28,30.2457,30.5643,29.9444,30.23,161141400
2009-12-29,30.3757,30.3886,29.8186,29.8714,111301400
2009-12-30,29.8329,30.2857,29.7586,30.2343,103021100
2009-12-31,30.4471,30.4786,30.08,30.1046,88102700
2010-01-04,30.49,30.6429,30.34,30.5729,123432400
2010-01-05,30.6571,30.7986,30.4643,30.6257,150476200
2010-01-06,30.6257,30.7471,30.1071,30.1386,138040000
2010-01-07,30.25,30.2857,29.8643,30.0829,119282800
2010-01-08,30.0429,30.2857,29.8657,30.2829,111902700
2010-01-11,30.4,30.4286,29.7786,30.0157,115557400
2010-01-12,29.8843,29.9671,29.4886,29.6743,148614900
2010-01-13,29.6957,30.1329,29.1571,30.0929,151473000
2010-01-14,30.0157,30.0657,29.86,29.9186,108223500
2010-01-15,30.1329,30.2286,29.41,29.4186,148516900
2010-01-19,29.7614,30.7414,29.6057,30.72,182501900
2010-01-20,30.7014,30.7929,29.9286,30.2464,153038200
2010-01-21,30.2971,30.4734,29.6014,29.7246,152038600
2010-01-22,29.54,29.6429,28.1657,28.25,220441900
2010-01-25,28.93,29.2429,28.5986,29.0107,266424900
2010-01-26,29.4214,30.53,28.94,29.42,466777500
2010-01-27,29.55,30.0829,28.5044,29.6977,430642100
2010-01-28,29.2757,29.3571,28.3857,28.47,293375600
2010-01-29,28.7257,28.8857,27.1786,27.4376,311488100
2010-02-01,27.4814,28,27.3286,27.8186,187469100
2010-02-02,27.9871,28.0457,27.6257,27.98,174585600
2010-02-03,27.8814,28.6,27.7743,28.4614,153832000
2010-02-04,28.1043,28.3386,27.3671,27.4357,189413000
2010-02-05,27.5179,28,27.2643,27.9229,212576700
2010-02-08,27.9557,28.2686,27.7143,27.7314,119567700
2010-02-09,28.06,28.2143,27.8214,28.0271,158221700
2010-02-10,27.9843,28.0857,27.7514,27.8737,92590400
2010-02-11,27.84,28.5357,27.7229,28.3814,137586400
2010-02-12,28.3014,28.8057,27.9286,28.6257,163867200
2010-02-16,28.8486,29.0986,28.7886,29.0571,135934400
2010-02-17,29.17,29.1871,28.6943,28.9357,109099200
2010-02-18,28.8043,29.1271,28.7029,28.9897,105706300
2010-02-19,28.8371,29.0286,28.73,28.81,103867400
2010-02-22,28.9057,28.9286,28.4557,28.6309,97640900
2010-02-23,28.5714,28.7614,27.9586,28.1513,143773700
2010-02-24,28.3186,28.7771,28.2629,28.6651,115141600
2010-02-25,28.1971,28.98,28.1271,28.8571,166281500
2010-02-26,28.9114,29.31,28.8571,29.2314,126865200
2010-03-01,29.3929,29.9286,29.35,29.8557,137523400
2010-03-02,29.99,30.1186,29.6771,29.8357,141636600
2010-03-03,29.8486,29.9814,29.7057,29.9043,93013200
2010-03-04,29.8971,30.1314,29.8043,30.1014,91510300
2010-03-05,30.7057,31.3857,30.6614,31.2786,224905100
2010-03-08,31.43,31.4414,31.1786,31.2971,107472400
2010-03-09,31.1871,32.1429,31.1271,31.86,230064800
2010-03-10,31.9756,32.2114,31.8857,32.12,149054500
2010-03-11,31.9871,32.2143,31.9029,32.2143,101425100
2010-03-12,32.4814,32.5329,32.25,32.3714,104080900
2010-03-15,32.1971,32.2143,31.4643,31.9771,123375700
2010-03-16,32.0257,32.14,31.7871,32.0643,111727000
2010-03-17,32.1286,32.35,31.8957,32.0171,112739200
2010-03-18,32.0143,32.1429,31.8014,32.0929,85527400
2010-03-19,32.1129,32.1771,31.6043,31.75,139861400
2010-03-22,31.4957,32.2857,31.45,32.1071,114104900
2010-03-23,32.2343,32.6829,32.0143,32.6229,150607800
2010-03-24,32.52,32.8857,32.5014,32.7671,149445100
2010-03-25,32.9226,32.9957,32.3214,32.3786,135571100
2010-03-26,32.7071,33.1357,32.65,32.9857,160218800
2010-03-29,33.2857,33.41,33.0886,33.1986,135186100
2010-03-30,33.8004,33.9257,33.4643,33.6921,131827500
